Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_Of_Ownership,Industry,Sector,Revenue,Competitors
Data & Analytics Consultant,$81K - $123K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",4.6,SEI,"Cincinnati, OH",-1,201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
R&D Scientist,$93K - $126K (Glassdoor est.),"Date: Feb 25, 2021
Location: Twin Falls, ID, ID, US
Company: Glanbia
Research & Development Scientist- Bakery

Supervisor’s Title: Research Manager - Bakery
Department: Research and Development
Exempt Status: Exempt
At Glanbia Nutritionals Inc., our portfolio centers around dairy and non-dairy nutritional ingredients. We co-innovate and deliver ingredient solutions and precision premixes for use in the mainstream food and beverage, infant and clinical, and functional nutrition markets. We are the number one provider of whey-based nutritional ingredients globally and the number one producer of American-style cheddar cheese. Our protein systems have transformed the bar and beverage categories — bringing increased levels of protein, cleaner labels and greater product functionality to market. We have a direct presence in 21 countries, with manufacturing facilities in the US, Germany and China, and international sales and technical offices around the world.",3.1,Glanbia,"Twin Falls, ID",-1,5001 to 10000 Employees,-1,Company - Public,Food & Beverage Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
Data Scientist,-1,"Do you love analyzing data to uncover insights and trends? Can you understand data and trends to reveal meaningful business intelligence? Are you intrigued by learning market information? If so, then a career as a Data Scientist for Life Science Connect may be for you.
Life Science Connect is a subsidiary of VertMarkets, a B2B media company devoted to connecting the world’s business and community leaders. Life Science Connect fosters collaborations in the pharmaceutical, biotech, and medical device industries through websites, publications, events, and training.
In the role of Life Science Connect Data Scientist, you'll be required to take a data driven approach to understanding the needs of our clients and apply strategies to evaluate their marketing and content promotion campaign effectiveness. The Data Scientist will also be responsible for applying these insights, as well as market data they have discovered, to make recommendations on ways to maximize a client’s marketing and content promotion campaign results. The ideal candidate should have strong analytical skills, excellent time-management and organization, a problem solving mindset, and the ability to clearly communicate information in simple yet interesting ways.
Responsibilities:",-1,VertMarkets,"Cranberry Township, PA",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,$78K - $145K (Glassdoor est.),"Numerator is a data and tech company bringing speed and scale to market research. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The company blends proprietary data with advanced technology to create unique insights for the market research industry that has been slow to change. The majority of Fortune 100 companies are Numerator clients.
Job Description
Numerator is looking for a Data Engineer who is a Big Data enthusiast and has a passion for working with an interesting robust set of data. This person will work in our platform to help ensure that our data quality is flawless. As a company, we have millions of new data points every day that come into our system. You will be working with a passionate team of engineers to solve challenging problems and ensure that we can deliver the best data to our customers, on-time. You will be using the latest cloud data warehouse technologies to build robust and reliable data pipelines.",4.2,Numerator,"Chicago, IL",-1,1001 to 5000 Employees,2004,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
Research Scientist I - Essentia,-1,"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience
PhD plus 1 years of experience",2.8,The Lauridsen Group,"Ankeny, IA",-1,501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Data Scientist,$83K - $135K (Glassdoor est.),"Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.",3.8,Buckman,"Memphis, TN",-1,1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Data Scientist,$46K - $120K (Glassdoor est.),"Lead, collaborate and join integrated teams that apply advanced methods, theories, and research techniques in the investigation and solution development of complex data analysis problems. As a data scientist, you will help teams’ advance complex analysis, design, development, and testing of scalable end-to-end data pipelines from prototype to production, that include data analysis, visualization, and machine learning. At Fortego, you will embark on a journey of exciting, impactful & highly technical work with good people that treat you like family.

If that sounds like you, and you’ve got the skills and qualifications listed below with a TS/SCI with a Polygraph, we encourage you to apply.
We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization",5.0,Fortego,"Columbia, MD",-1,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$90K - $105K (Glassdoor est.),"XL Fleet seeks an experienced Data Scientist to support the data science activity for hybrid electric, plugin hybrid electric and full electric vehicle product lines.

About XL Fleet:

XL Fleet is on a mission to electrify the global fleet of commercial vehicles. We know this mission can only be successfully with the right talent.

XL is a high-growth commercial vehicle technology company. We are developing and producing cutting-edge technology to convert conventional vehicles into hybrids, plug-in hybrids and zero CO2 drive systems to reduce fuel consumption and to generate a compelling return on investment for fleet customers. Our customers include transportation, municipal, and utility fleets.

XL was honored as one of Boston Business Journal's Best Places to Work in 2018. We are an ambitious and small (but rapidly growing) team. We have a state-of-the-art engineering facility in Boston, California and Detroit and a production facility in Quincy, IL. We are looking for high-energy, creative, and ambitious professionals to join our team. We offer a competitive salary, meaningful equity compensation, 401k (with a company match), outstanding health benefits, progressive paid-time off policy, and a fun, productive and team-oriented work environment. We are recruiting candidates who have demonstrated leadership and excellence throughout their careers and are excited by the prospect of tackling the challenges of rapid profitable growth.



Responsibilities
Additional Responsibilities based on experience/interests
Minimum Qualifications
Preferred Qualifications
Contact: please send your resume to careers@xlfleet.com with “Data Scientist” in the subject heading",5.0,XL Fleet,"Detroit, MI",-1,51 to 200 Employees,2012,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10 to $25 million (USD),-1
LEAD DATA SCIENTIST,$77K - $127K (Glassdoor est.),"Overview:
Job Description
Type of Opportunity: Full Time
FTE: 1.000000
Exempt: Yes
Work Schedule: Weekday Schedule Monday-Friday
Summary:
Identify new opportunities for innovative analytics (i.e., descriptive, prescriptive and predictive) based on market developments & business demands as well as manage analytical projects in concert with other Directors within the Analytics Organization (AO). Collaborate across the organization to perform exploration and experimentation to build prototypes and develop analytical solutions best practices Guide the development of new analytical models to support real time and data driven business decision making. Responsible for mentoring and supporting fellow junior scientist as well as assisting senior leadership in evaluation, development and implementation of cutting edge reporting/research/analytics generating actionable insights to meet organizations needs
Responsibilities:



















Qualifications:









Benefits:",3.6,Presbyterian Healthcare Services,"Albuquerque, NM",-1,10000+ Employees,1908,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Data Engineer,$65K - $121K (Glassdoor est.),"McCarthy Building Companies, Inc. is one of America's premier commercial construction companies. Our reputation for tackling the toughest building challenges starts with our focus on building high-performing teams that collaborate with clients and industry partners starting in the earliest stages of design, throughout construction and beyond project completion. With offices and employees nationwide, we specialize in a wide range of project types including healthcare, education, renewable energy, marine, water/wastewater, commercial office and retail, hospitality/entertainment and airports. Originally founded as a family business in 1864, today we are proud to be 100 percent employee owned.

McCarthy is seeking a full-time Azure Data Engineer located in St. Louis, MO who, as part of the Business Intelligence team, will be responsible to deliver end-to-end data pipelines and repositories leveraging both traditional tools and practices as well as modern consumption and delivery models to support a growing Business Intelligence practice.",4.5,McCarthy Building Co,"Saint Louis, MO",-1,1001 to 5000 Employees,1864,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD),-1
Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.","Boston, MA",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Data Analyst,$33K - $57K (Glassdoor est.),"Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.",4.6,MetroNet,"Evansville, IN",-1,1001 to 5000 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1
Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",-1,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
Data Analyst,$42K - $77K (Glassdoor est.),"The Data Analyst will be responsible for the integrity and accuracy of customer usage and financial data related to the Unlimited subscription plan. He/She will also hold primary responsibility for analyzing and deriving actionable insights from customer data.
Primary Responsibilities
Own historical subscription plan membership and usage database – ensure all data is complete, clean and accurate
Become expert on point of sale revenue and usage mapping
Identify data gaps, find data sources to fill these gaps, and make recommendations for additions to our data environment
Design, implement and maintain reporting dashboards and KPIs with emphasis on automation
Create decision support tools and analysis related to pricing initiatives and program changes",4.8,"Crew Carwash, Inc.","Indianapolis, IN",-1,501 to 1000 Employees,1948,Company - Private,Other Retail Stores,Retail,$50 to $100 million (USD),-1
Data Analyst,$41K - $74K (Glassdoor est.),"Grade Level 10

GeoBlue is the trading name for the international health insurance programs of Worldwide Insurance Services, an independent licensee of the Blue Cross and Blue Shield Association. For the past 20 years, GeoBlue has been dedicated to simplifying the international healthcare experience for the globally mobile. GeoBlue members have access to the Blue Cross Blue Shield network in the U.S. and our hand-picked network of high-quality medical providers outside the U.S. where we collaborate closely with our largest single shareholder, Bupa, one of the largest healthcare companies on the planet outside the US. Coupled with leading-edge technology and 24/7 multilingual world-class medical assistance, GeoBlue provides members with the confidence and peace of mind to carry out their international aspirations. GeoBlue offers a range of solutions, covering the needs of the globally mobile for short trips and long-term assignments including group, individual and student international health insurance plans.

We are looking for a Data Analyst who can use a combination of data interpretation, analysis, and management techniques to turn data into information, information into insights, and insights into business decisions.



Reporting:
Analytics:
Data Management:
Innovation:
Other duties as assigned.

We offer competitive benefits including medical, dental, life insurance, 401(k), PTO, and more.

EOE/M/F/Vets/Disabled

If you prefer to mail your resume you can send it to:",3.4,GeoBlue,"King of Prussia, PA",-1,201 to 500 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Analytical Research & Development Scientist,-1,"Summary of role
The Analytical R&D Scientist I is accountable for driving results in a fast-paced environment by independently executing development of analytical methods and improvement of existing ones to support API development program for Sterling facilities. This requires skills and knowledge in handling, analyzing and characterizing chemicals, pharmaceuticals, and related organic molecules. It also requires hands on experience in analytical techniques such as HPLC, GC, etc. The Scientist independently drafts analytical development reports and drafts and executes validation protocols for analytical methods. The ideal candidate will independently perform and review data analysis and draft reports for analytical method development and validation. The ideal candidate has the proven ability to apply scientific principles, theories and concepts to research problems and develop solutions for analytical problems related to drug substances in compliance with appropriate Standard Operating Procedures (SOPs) and regulatory guidelines.
Responsibilities",-1,Sterling Pharma Solutions,"Germantown, WI",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,$95K - $176K (Glassdoor est.),"About the Role
In this exciting role, you will:
Help us build state-of-art data processing framework for our security-oriented IoT platform
Work to architect a big data platform that is real-time, stable and scalable in order to support data analytics, reporting, data visualization and machine learning
The Data Engineer can also expect to:
Design and develop ETL for the new big data platform with open source technologies such as Kafka, Spark, and Presto etc.
Collaborate across teams to identify key datasets and implement ingestion process to onboard new datasets",3.5,Brivo,"Bethesda, MD",-1,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
Laser Development and Optical Imaging Research Scientist,$55K - $72K (Glassdoor est.),"Position: Laser Development and Optical Imaging Research Scientist
Position Summary: LiveBx seeks to fill a position for a full-time Laser Development and Optical Imaging Research Scientist, to join its diverse and talented design group. This individual will contribute to the development of novel label-free imaging technologies, working side-by-side proven scientific leaders that continue to push the boundaries of innovation in this rapidly expanding field. The candidate will have a key role in the design of robust femtosecond lasers, operate the corresponding optical imaging technologies and systems, and perform/manage translational imaging studies involving cell lines, in vitro tissue models, and human tissue specimens. This position will work closely with research personnel at the University of Illinois at
Urbana-Champaign Biophotonics Imaging Laboratory, LiveBx company founders, as well as closely interface with market leading customers, industry partners, and R&D collaborators.
Compensation: Base salary $60,000 - $80,000 annually with benefits; Additional incentive compensation available for meeting project and company milestones, including an equity profits interest for advanced candidates.",-1,LiveBx,"Champaign, IL",-1,-1,-1,-1,-1,-1,-1,-1
R&D Scientist I,-1,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
_MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!! _
_ _
R & D Scientist I – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.",1.0,"Maine Molecular Quality Controls, Inc","Saco, ME",-1,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1
Clinical Lab Scientist-Generalist SIGN ON BONUS!,$20 - $32 Per Hour(Glassdoor est.),"$2000.00 SIGN ON BONUS
(Bonus program parameters apply)
Edward-Elmhurst Health includes three hospitals — Edward Hospital, Elmhurst Hospital, and Linden Oaks Behavioral Health — and an extensive ambulatory care network that provides comprehensive healthcare to residents of the west and southwest suburbs of Chicago. Edward-Elmhurst Health provides comprehensive healthcare at more than 60 locations in the suburbs of Chicago. Our success has always been — and always will be — driven by our most talented, reliable, compassionate and skilled people, who genuinely believe in delivering top quality care to our patients and their families. At Edward-Elmhurst Health, you will also experience a vibrant culture and an atmosphere of nurturing support and leadership.
Be DRIVEN to join our over 8,000 employees, 1,700 staff physicians and 1,800 volunteers who want to provide safe, seamless and personalized care every day for our patients, our families and our communities.




Location: Edward-Elmhurst Health · LAB-AUTOMATED
Schedule: Full time, Nights, 10:00pm-6:30AM",3.8,Edward-Elmhurst Health,"Elmhurst, IL",-1,5001 to 10000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
